url,file,http_status,redirect_target,canonical,indexable,page_title,navigation_group,last_modified,data_source,api_endpoints,freshness,relevance,disposition,notes
/,/,200,,https://tradingai.in/,YES,"AI Market Outlook – NIFTY, BANKNIFTY, FINNIFTY, SENSEX",HOME,2026-09-17,"Market status, AI outlook, trade qualification",PASS,CORE,KEEP,Fix stale pre-rendered data,
/alerts.html,/alerts.html,200,,https://tradingai.in/alerts.html,YES,Market Alerts – PCR & OI Signals,ALERTS,2026-09-17,"Market alerts feed, ticker tape",PASS,CORE,KEEP,Add to sitemap,
/ai-track-record.html,/ai-track-record.html,200,,https://tradingai.in/ai-track-record.html,YES,AI Track Record – Prediction Accuracy,AI_TRACK,2026-09-17,"AI accuracy, journal stats, walk-forward",PASS,CORE,KEEP,Fix data-sym and data-col HTML attrs,
/about.html,/about.html,200,,https://tradingai.in/about.html,NO,About TradingAI,TRUST_ABOUT,2026-09-17,"Company info, methodology",PASS,SUPPORTING,KEEP,,
/contact.html,/contact.html,200,,https://tradingai.in/contact.html,NO,Contact TradingAI,TRUST_CONTACT,2026-09-17,Contact info,PASS,SUPPORTING,KEEP,,
/disclaimer.html,/disclaimer.html,200,,https://tradingai.in/disclaimer.html,NO,Disclaimer,TRUST_DISCLAIMER,2026-09-17,Legal disclaimer,PASS,SUPPORTING,KEEP,,
/evidence/historical.html,/evidence/historical.html,200,,https://tradingai.in/evidence/historical.html,YES,Historical Evidence — Similar Setups,EVIDENCE,2026-09-17,"Historical evidence, subsequent moves",PASS,CORE,KEEP,Fix canonical (content= vs href=),
/history.html,/history.html,200,,https://tradingai.in/history.html,YES,History – P&L Tracking,HISTORY,2026-09-17,"Daily outlook vs outcome, P&L",PASS,CORE,KEEP,Fix title consistency,
/history/replay.html,/history/replay.html,200,,https://tradingai.in/history/replay.html,YES,Historical AI Replay,REPLAY,2026-09-17,Timestamp-by-timestamp replay,PASS,CORE,KEEP,,
/indices/banknifty.html,/indices/banknifty.html,200,,https://tradingai.in/indices/banknifty.html,YES,BANKNIFTY 50 – AI Market Outlook,BANKNIFTY,2026-09-17,BANKNIFTY-specific outlook,PASS,CORE,KEEP,CRITICAL: Fix index selector (2 BANKNIFTY links),
/indices/finnifty.html,/indices/finnifty.html,200,,https://tradingai.in/indices/finnifty.html,YES,FINNIFTY 50 – AI Market Outlook,FINNIFTY,2026-09-17,FINNIFTY-specific outlook (delayed),PASS,CORE,KEEP,Fix stale-price magic number hack,
/indices/nifty.html,/indices/nifty.html,200,,https://tradingai.in/indices/nifty.html,YES,NIFTY 50 – AI Market Outlook,NIFTY,2026-09-17,NIFTY-specific outlook,PASS,CORE,KEEP,Fix index selector (2 BANKNIFTY links),
/indices/sensex.html,/indices/sensex.html,200,,https://tradingai.in/indices/sensex.html,YES,SENSEX 50 – AI Market Outlook,SENSEX,2026-09-17,SENSEX-specific outlook,PASS,CORE,KEEP,,
/options/index.html,/options/index.html,200,,https://tradingai.in/options/index.html,YES,Options Intelligence Hub,OPTIONS,2026-09-17,"PCR, Max Pain, OI, IV, Chain, Strategies",PASS,CORE,KEEP,Fix expected-move URL,
/options-mobile.html,/options-mobile.html,200,,https://tradingai.in/options-mobile.html,YES,Options Intelligence (mobile),OPTIONS_MOBILE,2026-09-17,Options intelligence per symbol,PASS,CORE,KEEP,CRITICAL: Fix canonical → /options-mobile.html (currently /options.html 404),
/options/pcr.html,/options/pcr.html,200,,https://tradingai.in/options/pcr.html,YES,Options PCR & Max Pain,OPTIONS_PCR,2026-09-17,"PCR gauges, max pain, OI",PASS,CORE,KEEP,Fix duplicate gtag,
/portfolio.html,/portfolio.html,200,,https://tradingai.in/portfolio.html,YES,Portfolio Tracker,PORTFOLIO,2026-09-17,Personal portfolio tracking,PASS,CORE,KEEP,Add to sitemap,
/research/index.html,/research/index.html,200,,https://tradingai.in/research/index.html,YES,Research Hub,RESEARCH,2026-09-17,"Research reports, technical analysis",PARTIAL,CORE,KEEP,"Fix canonical, SEI→SEBI typo",
/scanner.html,/scanner.html,200,,https://tradingai.in/scanner.html,YES,Market Scanner,SCANNER,2026-09-17,"Market scanning, stock screening",PASS,CORE,KEEP,Add to sitemap,
/strategies.html,/strategies.html,200,,https://tradingai.in/strategies.html,YES,Strategy Intelligence,STRATEGIES,2026-09-17,"Strategy cards, comparison",PARTIAL,CORE,KEEP,Fix stray </script>,
/strategies-guide.html,/strategies-guide.html,200,,https://tradingai.in/strategies-guide.html,YES,Options Strategies Guide,GUIDE,2026-09-17,Educational: strategy definitions,PASS,SUPPORTING,KEEP,Add to sitemap (static page),
/stock.html,/stock.html,200,,https://tradingai.in/stock.html,YES,Stock AI Market Outlook,STOCK,2026-09-17,Per-stock AI outlook (RELIANCE default),PASS,CORE,KEEP,Investigate HEAD 404; stock pages need sitemap,
/stock-options.html,/stock-options.html,200,,https://tradingai.in/stock-options.html,YES,Stock Options – Positional Structures,STOCK_OPTIONS,2026-09-17,Stock options positional structures,PASS,CORE,KEEP,Add to sitemap,
/tools/backtest.html,/tools/backtest.html,200,,https://tradingai.in/tools/backtest.html,YES,Rules-Based Backtest,BACKTEST,2026-09-17,Deterministic strategy backtest,PASS,CORE,KEEP,Add canonical tag,
/tools/intelligence.html,/tools/intelligence.html,200,,https://tradingai.in/tools/intelligence.html,YES,Personal Trading Intelligence,INTELLIGENCE,2026-09-17,Trading intelligence summary (Phase 9C),PASS,CORE,KEEP,DEPLOY to VM; add to sitemap,
/tools/journal.html,/tools/journal.html,200,,https://tradingai.in/tools/journal.html,YES,Trade Journal,JOURNAL,2026-09-17,Immutable trade journal (Phase 9A),PASS,CORE,KEEP,DEPLOY to VM; add to sitemap,
/tools/position-size.html,/tools/position-size.html,200,,https://tradingai.in/tools/position-size.html,YES,Position Size Calculator,POSITION_SIZE,2026-09-17,Position size + expected move calculator,PASS,SUPPORTING,KEEP,,
/tools/walkforward.html,/tools/walkforward.html,200,,https://tradingai.in/tools/walkforward.html,YES,Walk-Forward Validation,WALKFORWARD,2026-09-17,Walk-forward OOS performance,PASS,CORE,KEEP,,
/today/index.html,/today/index.html,200,,https://tradingai.in/today/index.html,YES,NIFTY Today — Live Intraday Terminal,TODAY,2026-09-17,Trader command center,PASS,CORE,KEEP,Fix missing API endpoints (Phase 29),
/trade.html,/trade.html,200,,https://tradingai.in/trade.html,YES,Intraday Trade Setup,TRADE,2026-09-17,GO/WAIT/NO_SETUP trade setup,PASS,CORE,KEEP,CRITICAL: Fix duplicate loadData(),
/strategy-builder.html,/strategy-builder.html,200,,https://tradingai.in/strategy-builder.html,YES,Strategy Builder,STRATEGY_BUILDER,2026-09-17,Options strategy payoff builder,PASS,SUPPORTING,KEEP,Fix orphan pipe,
/404.html,/404.html,200,,https://tradingai.in/404.html,NO,Page Not Found,ERROR_404,2026-09-17,Custom 404,PASS,UTILITY,KEEP,,
/etfs/holdings.html,/etfs/holdings.html,?,N/A,N/A,YES,ETF Holdings Explorer,ETF_HOLDINGS,2026-09-17,ETF holdings data,UNKNOWN,SUPPLEMENTARY,KEEP,No index.html in /etfs/; verify via full path,
/etfs/top-etfs.html,/etfs/top-etfs.html,?,N/A,N/A,YES,Top ETFs in India,ETF_TOP,2026-09-17,Top ETF data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/global/markets.html,/global/markets.html,?,N/A,N/A,YES,Global Markets Today,GLOBAL_MARKETS,2026-09-17,Global market data,UNKNOWN,SUPPLEMENTARY,KEEP,No index.html in /global/; verify via full path,
/market/outlook-nifty-2026-09-13.html,/market/outlook-nifty-2026-09-13.html,?,N/A,N/A,YES,AI NIFTY Market Outlook 2026-09-13,HISTORICAL_OUTLOOK,2026-09-17,Historical NIFTY outlook,UNKNOWN,SUPPLEMENTARY,KEEP,Add noindex; historical dated snapshot,
/mutual-funds/index.html,/mutual-funds/index.html,200,,https://tradingai.in/mutual-funds/,YES,Best Mutual Funds in India,MUTUAL_FUNDS,2026-09-17,Mutual fund data,UNKNOWN,SUPPLEMENTARY,KEEP,,
/news/index.html,/news/index.html,200,,https://tradingai.in/news/,YES,Stock Market News Today,NEWS,2026-09-17,Market news,UNKNOWN,SUPPLEMENTARY,KEEP,,
/queries/index.html,/queries/index.html,200,,https://tradingai.in/queries/,YES,Stock Queries Library,QUERIES,2026-09-17,Stock queries,UNKNOWN,SUPPLEMENTARY,KEEP,,
/sectors/top.html,/sectors/top.html,?,N/A,N/A,YES,Top Sector Stocks,SECTORS,2026-09-17,Sector stock data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/stocks/52-week.html,/stocks/52-week.html,?,N/A,N/A,YES,52-Week High/Low Stocks,STOCKS_52WEEK,2026-09-17,52-week high/low data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/stocks/reliance.html,/stocks/reliance.html,?,N/A,N/A,YES,Reliance Stock Outlook,STOCK_RELIANCE,2026-09-17,Reliance stock data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path; partial overlap with stock.html,
/stocks/top-large-cap.html,/stocks/top-large-cap.html,?,N/A,N/A,YES,Top Large Cap Stocks,STOCKS_LARGE,2026-09-17,Large cap stock data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/stocks/top-mid-small.html,/stocks/top-mid-small.html,?,N/A,N/A,YES,Top Mid/Small Cap Stocks,STOCKS_MIDSMALL,2026-09-17,Mid/small cap data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/stocks/top-performers.html,/stocks/top-performers.html,?,N/A,N/A,YES,Top Performing Stocks,STOCKS_PERFORMERS,2026-09-17,Top performer data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/stocks/undervalued.html,/stocks/undervalued.html,?,N/A,N/A,YES,Undervalued Stocks,STOCKS_UNDervalued,2026-09-17,Undervalued stock data,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/reports/ai_outlook_30d_nifty_5m/report.html,/reports/ai_outlook_30d_nifty_5m/report.html,?,N/A,N/A,YES,AI Outlook 30-Day Report (NIFTY 5m),REPORT_30D,2026-09-17,30-day AI outlook report,UNKNOWN,SUPPLEMENTARY,KEEP,Verify via full path,
/home.html,/home.html,301,/,,NO,Old home page,REDIRECT_HOME,N/A,Redirect to /,N/A,DUPLICATE,REDIRECT,,
/market.html,/market.html,301,/today/index.html,,NO,Old market page,REDIRECT_MARKET,N/A,Redirect to /today/,N/A,REMOVED,REDIRECT,Removed per Phase 29,
/index.html,/index.html,200,,https://tradingai.in/,NO,Same as homepage,DUPLICATE_INDEX,2026-09-17,Same content as /,N/A,DUPLICATE,REDIRECT,Redirect to /,
/options/,/options/,301,/options/index.html,,NO,Options directory redirect,REDIRECT_OPTIONS,N/A,Redirect to /options/,N/A,UTILITY,REDIRECT,,
/today/,/today/,301,/today/index.html,,NO,Today directory redirect,REDIRECT_TODAY,N/A,Redirect to /today/,N/A,UTILITY,REDIRECT,,
/research/,/research/,301,/research/index.html,,NO,Research directory redirect,REDIRECT_RESEARCH,N/A,Redirect to /research/,N/A,UTILITY,REDIRECT,,
/404.html,/404.html,200,,https://tradingai.in/404.html,NO,Error page,ERROR_404,2026-09-17,Custom 404,PASS,UTILITY,KEEP,,
