stage,candidate_count,rejected_count,rejection_percentage,description
1,"1,875",0,0.0,"Total 5-minute NIFTY candles (2026-08-08 to 2026-09-15)"
2,"1,854","21",1.1,"Eligible after EMA(9)/EMA(21) warm-up period (first 21 candles excluded)"
3,"1,854",0,0.0,"Trend filter: EMA(9) vs EMA(21) relationship monitored at every candle"
4,"1,854",0,0.0,"No VWAP filter in EMA crossover strategy (rules-based proxy)"
5,"1,854",0,0.0,"No ADX filter in EMA crossover strategy (rules-based proxy)"
6,"1,854",0,0.0,"No CPR filter in EMA crossover strategy (rules-based proxy)"
7,"1,854",0,0.0,"No VIX filter in EMA crossover strategy (rules-based proxy)"
8,"1,854","1,842",99.4,"No confirmation filter: strategy enters on any EMA crossover event"
9,"12","1,842",99.4,"EMA9 crosses above EMA21 (bullish crossover) detected at exactly 12 timestamps"
10,"12",0,0.0,"All 12 crossover signals entered LONG positions (no NO_TRADE filter)"
"","","",""
"Notes:",""
"Strategy:","EMA(9)/EMA(21) crossover — deterministic, not AI-driven"
"Reason for low trade count:","EMA crossovers are rare events in a 30-day window with 1,854 eligible candles"
"Market context:","Bearish trend (NIFTY dropped ~6.4% over period), crossovers mostly false signals"
"Win rate:","16.67% (2 wins / 12 trades) — strategy not effective in this market regime"
